year,team_name,avg_points_per_game,scoring_margin_per_game,num_fg_attempts_per_game,fg_percentage,num_3p_per_game,num_3p_attempts_per_game,t3p_percentage,num_ft_attempts_per_game,ft_percentage,rebound_margin,assists_per_game,ato_ratio,avg_opponent_points_per_game,num_opp_fg_attempts_per_game,opp_fg_percentage,num_opp_3p_attempts_per_game,opp_3p_percentage,blocks_per_game,steals_per_game,opp_turnovers_per_game,turnovers_per_game,fouls_per_game,num_dq
2010,Clemson,73.29032,9.45161,58.54839,0.45344,6.58065,19.58065,0.33608,20.64516,0.65938,1.77419,14.16129,0.95435,63.83871,55.16129,0.41871,15.67742,0.29424,4.83871,9.64516,17.48387,14.83871,17.48387,11
2010,ETSU,69.20588,2.67647,56.29412,0.43469,5.08824,16.41176,0.31004,22.88235,0.66324,0.91176,10.91176,0.73465,66.52941,54.61765,0.41465,22.02941,0.32710,3.26471,8.29412,16.70588,14.85294,19.11765,14
2010,Florida,71.60606,6.18182,58.42424,0.44398,5.84848,18.66667,0.31331,19.75758,0.70245,2.51515,14.06061,1.15423,65.42424,57.18182,0.42872,18.78788,0.32097,2.72727,7.15152,13.72727,12.18182,14.45455,4
2010,Florida St,68.48387,8.32258,54.03226,0.45493,5.80645,17.32258,0.33520,20.93548,0.64561,5.58065,13.90323,0.82885,60.16129,55.12903,0.37390,19.61290,0.32895,6.32258,8.38710,16.06452,16.77419,17.83871,8
2010,Georgetown,73.24242,8.12121,53.15152,0.49829,6.18182,15.93939,0.38783,19.78788,0.71210,2.24243,15.45455,1.12088,65.12121,55.60606,0.41199,18.87879,0.32584,4.72727,7.03030,13.12121,13.78788,16.90909,12
2010,Houston,78.64706,4.08824,65.35294,0.41989,8.32353,23.35294,0.35642,21.64706,0.71332,-8.05882,12.58824,1.38511,74.55882,57.29412,0.46047,16.97059,0.33449,3.00000,9.50000,16.91176,9.08824,18.61765,10
2010,Lehigh,75.12500,5.09375,55.96875,0.45617,6.65625,16.62500,0.40038,24.31250,0.71594,1.56250,15.12500,1.16346,70.03125,58.90625,0.42228,20.62500,0.34394,2.53125,6.15625,13.65625,13.00000,17.90625,10
2010,Louisville,76.34375,6.75000,59.37500,0.44737,8.03125,23.68750,0.33905,21.59375,0.70333,1.62500,15.56250,1.13699,69.59375,55.68750,0.42649,17.96875,0.34261,4.18750,7.78125,15.34375,13.68750,20.12500,8
2010,Marquette,72.93939,8.75757,55.72727,0.45351,7.93939,19.54545,0.40620,19.54545,0.73953,-1.18182,15.15152,1.47059,64.18182,54.12121,0.44681,15.69697,0.31660,2.15152,7.90909,14.42424,10.30303,17.06061,11
2010,Minnesota,72.91176,8.88235,55.50000,0.47324,7.02941,17.38235,0.40440,19.02941,0.70170,2.00000,16.73529,1.31409,64.02941,55.26471,0.40234,21.00000,0.34034,5.52941,7.97059,14.41176,12.73529,16.50000,11
