id,year,team_name,number_of_victories
6,2010,Clemson,0
9,2010,ETSU,0
10,2010,Florida,0
11,2010,Florida St,0
12,2010,Georgetown,0
15,2010,Houston,0
19,2010,Lehigh,0
20,2010,Louisville,0
21,2010,Marquette,0
24,2010,Minnesota,0
26,2010,Montana,0
27,2010,Morgan St,0
30,2010,New Mexico St,0
31,2010,North Texas,0
32,2010,Notre Dame,0
33,2010,Oakland,0
36,2010,Oklahoma St,0
40,2010,Richmond,0
41,2010,Robert Morris,0
43,2010,Sam Houston St,0
44,2010,San Diego St,0
45,2010,Siena,0
47,2010,Temple,0
49,2010,Texas,0
51,2010,UC Santa Barbara,0
53,2010,UNLV,0
54,2010,UTEP,0
55,2010,Utah St,0
56,2010,Vanderbilt,0
57,2010,Vermont,0
62,2010,Winthrop,0
64,2010,Wofford,0
66,2011,Akron,0
67,2011,Alabama St,0
70,2011,Belmont,0
71,2011,Boston U,0
72,2011,Bucknell,0
80,2011,Georgetown,0
81,2011,Georgia,0
83,2011,Hampton,0
85,2011,Indiana St,0
89,2011,LIU Brooklyn,0
90,2011,Little Rock,0
91,2011,Louisville,0
93,2011,Memphis,0
95,2011,Michigan St,0
96,2011,Missouri,0
99,2011,Northern Colo,0
101,2011,Oakland,0
103,2011,Old Dominion,0
104,2011,Penn St,0
106,2011,Princeton,0
109,2011,Saint Peters,0
111,2011,Southern California,0
112,2011,St Johns NY,0
115,2011,Tennessee,0
117,2011,Texas AM,0
118,2011,UAB,0
119,2011,UC Santa Barbara,0
123,2011,UNLV,0
125,2011,Utah St,0
127,2011,Vanderbilt,0
128,2011,Villanova,0
132,2011,Wofford,0
133,2011,Xavier,0
134,2012,Alabama,0
137,2012,Belmont,0
138,2012,California,0
141,2012,Colorado St,0
143,2012,Davidson,0
144,2012,Detroit Mercy,0
145,2012,Duke,0
150,2012,Harvard,0
152,2012,Iona,0
157,2012,LIU Brooklyn,0
158,2012,Lamar University,0
160,2012,Long Beach St,0
162,2012,Loyola Maryland,0
164,2012,Memphis,0
165,2012,Michigan,0
167,2012,Mississippi Val,0
168,2012,Missouri,0
169,2012,Montana,0
173,2012,New Mexico St,0
176,2012,Notre Dame,0
181,2012,Saint Marys CA,0
182,2012,San Diego St,0
183,2012,South Dakota St,0
185,2012,Southern Miss,0
186,2012,St Bonaventure,0
188,2012,Temple,0
189,2012,Texas,0
190,2012,UConn,0
191,2012,UNC Asheville,0
192,2012,UNLV,0
196,2012,Virginia,0
197,2012,West Virginia,0
199,2012,Wichita St,0
202,2013,Akron,0
203,2013,Albany NY,0
205,2013,Belmont,0
206,2013,Boise St,0
207,2013,Bucknell,0
210,2013,Cincinnati,0
211,2013,Colorado,0
214,2013,Davidson,0
218,2013,Georgetown,0
223,2013,Iona,0
227,2013,Kansas St,0
228,2013,LIU Brooklyn,0
230,2013,Liberty,0
237,2013,Middle Tenn,0
239,2013,Missouri,0
240,2013,Montana,0
242,2013,NC State,0
243,2013,New Mexico,0
244,2013,New Mexico St,0
246,2013,Northwestern St,0
247,2013,Notre Dame,0
249,2013,Oklahoma,0
250,2013,Oklahoma St,0
253,2013,Pacific,0
254,2013,Pittsburgh,0
258,2013,South Dakota St,0
259,2013,Southern U,0
262,2013,UCLA,0
263,2013,UNLV,0
265,2013,Valparaiso,0
266,2013,Villanova,0
267,2013,Western Ky,0
269,2013,Wisconsin,0
271,2014,American,0
273,2014,Arizona St,0
274,2014,BYU,0
277,2014,Cincinnati,0
278,2014,Coastal Caro,0
279,2014,Colorado,0
282,2014,Delaware,0
283,2014,Duke,0
284,2014,Eastern Ky,0
286,2014,George Washington,0
289,2014,Iowa,0
292,2014,Kansas St,0
294,2014,Lafayette,0
296,2014,Manhattan,0
297,2014,Massachusetts,0
302,2014,Milwaukee,0
303,2014,Mt St Marys,0
