id,year,game_date,winning_team_name,winning_score,losing_team_name,losing_score
1,2009,2009-04-06,North Carolina,89,Michigan St,72
2,2009,2009-04-04,North Carolina,83,Villanova,69
4,2009,2009-03-29,North Carolina,72,Oklahoma,60
5,2009,2009-03-29,Michigan St,64,Louisville,52
7,2009,2009-03-28,Villanova,78,Pittsburgh,76
8,2009,2009-03-27,North Carolina,98,Gonzaga,77
9,2009,2009-03-27,Oklahoma,84,Syracuse,71
10,2009,2009-03-27,Michigan St,67,Kansas,62
11,2009,2009-03-27,Louisville,103,Arizona,64
12,2009,2009-03-26,Missouri,102,Memphis,91
14,2009,2009-03-26,Villanova,77,Duke,54
15,2009,2009-03-26,Pittsburgh,60,Xavier,55
16,2009,2009-03-21,Gonzaga,83,Western Ky,81
17,2009,2009-03-21,Purdue,76,Washington,74
19,2009,2009-03-21,Villanova,89,UCLA,69
20,2009,2009-03-19,Western Ky,76,Illinois,72
21,2009,2009-03-19,Gonzaga,77,Akron,64
22,2009,2009-03-19,Washington,71,Mississippi St,58
23,2009,2009-03-19,Purdue,61,UNI,56
24,2009,2009-03-19,UCLA,65,VCU,64
25,2009,2009-03-19,Villanova,80,American,67
27,2009,2009-03-19,Texas AM,79,BYU,66
28,2009,2009-03-21,Oklahoma,73,Michigan,63
29,2009,2009-03-21,Memphis,89,Maryland,70
30,2009,2009-03-19,Oklahoma,82,Morgan St,54
31,2009,2009-03-19,Michigan,62,Clemson,59
32,2009,2009-03-19,Maryland,84,California,71
34,2009,2009-03-22,Arizona,71,Cleveland St,57
35,2009,2009-03-22,Michigan St,74,Southern California,69
36,2009,2009-03-22,Kansas,60,Dayton,43
37,2009,2009-03-22,Louisville,79,Siena,72
38,2009,2009-03-22,Pittsburgh,84,Oklahoma St,76
39,2009,2009-03-22,Syracuse,78,Arizona St,67
40,2009,2009-03-22,Missouri,83,Marquette,79
41,2009,2009-03-22,Xavier,60,Wisconsin,49
42,2009,2009-03-21,Duke,74,Texas,69
43,2009,2009-03-21,North Carolina,84,LSU,70
44,2009,2009-03-20,Arizona,84,Utah,71
45,2009,2009-03-20,Southern California,72,Boston College,55
46,2009,2009-03-20,Dayton,68,West Virginia,60
47,2009,2009-03-20,Michigan St,77,Robert Morris,62
48,2009,2009-03-20,Kansas,84,North Dakota St,74
49,2009,2009-03-20,Siena,74,Ohio St,72
50,2009,2009-03-20,Louisville,74,Morehead St,54
51,2009,2009-03-20,Pittsburgh,72,ETSU,62
52,2009,2009-03-20,Oklahoma St,77,Tennessee,75
53,2009,2009-03-20,Cleveland St,84,Wake Forest,69
54,2009,2009-03-20,Arizona St,66,Temple,57
56,2009,2009-03-20,Wisconsin,61,Florida St,59
57,2009,2009-03-20,Xavier,77,Portland St,59
58,2009,2009-03-20,Missouri,78,Cornell,59
59,2009,2009-03-20,Marquette,58,Utah St,57
60,2009,2009-03-19,Duke,86,Binghamton,62
61,2009,2009-03-19,Texas,76,Minnesota,62
62,2009,2009-03-19,North Carolina,101,Radford,58
63,2009,2009-03-19,LSU,75,Butler,71
64,2009,2009-03-17,Morehead St,58,Alabama St,43
65,2010,2010-04-05,Duke,61,Butler,59
66,2010,2010-04-03,Duke,78,West Virginia,57
67,2010,2010-04-03,Butler,52,Michigan St,50
68,2010,2010-03-28,Duke,78,Baylor,71
69,2010,2010-03-28,Michigan St,70,Tennessee,69
70,2010,2010-03-27,West Virginia,73,Kentucky,66
71,2010,2010-03-27,Butler,63,Kansas St,56
73,2010,2010-03-26,Duke,70,Purdue,57
74,2010,2010-03-26,Tennessee,76,Ohio St,73
75,2010,2010-03-26,Michigan St,59,UNI,52
76,2010,2010-03-25,Butler,63,Syracuse,59
77,2010,2010-03-25,Kansas St,101,Xavier,96
78,2010,2010-03-25,Kentucky,62,Cornell,45
79,2010,2010-01-25,West Virginia,69,Washington,56
80,2010,2010-03-21,Xavier,71,Pittsburgh,68
81,2010,2010-03-21,Michigan St,85,Maryland,83
82,2010,2010-03-21,Duke,68,California,53
83,2010,2010-03-21,West Virginia,68,Missouri,59
84,2010,2010-03-21,Cornell,87,Wisconsin,69
85,2010,2010-03-21,Syracuse,87,Gonzaga,65
86,2010,2010-03-21,Ohio St,75,Georgia Tech,66
87,2010,2010-03-21,Purdue,63,Texas AM,61
89,2010,2010-03-20,Baylor,76,Old Dominion,68
90,2010,2010-03-20,Washington,82,New Mexico,64
91,2010,2010-03-20,Kentucky,90,Wake Forest,60
92,2010,2010-03-20,Kansas St,84,BYU,72
93,2010,2010-03-20,Butler,54,Murray St,52
94,2010,2010-03-20,Tennessee,83,Ohio,68
95,2010,2010-03-20,UNI,69,Kansas,67
96,2010,2010-03-19,Purdue,72,Siena,64
97,2010,2010-03-19,Texas AM,69,Utah St,53
98,2010,2010-03-19,Wisconsin,53,Wofford,49
99,2010,2010-03-19,Cornell,78,Temple,65
100,2010,2010-03-19,Syracuse,79,Vermont,56
101,2010,2010-03-19,Missouri,86,Clemson,78
102,2010,2010-03-19,California,77,Louisville,62
103,2010,2010-03-19,Duke,73,Ark-Pine Bluff,44
104,2010,2010-03-19,Pittsburgh,89,Oakland,66
105,2010,2010-03-19,West Virginia,77,Morgan St,50
106,2010,2010-03-19,Gonzaga,67,Florida St,60
107,2010,2010-03-19,Ohio St,68,UC Santa Barbara,51
108,2010,2010-03-19,Georgia Tech,64,Oklahoma St,59
109,2010,2010-03-19,Maryland,89,Houston,77
110,2010,2010-03-19,Michigan St,70,New Mexico St,67
111,2010,2010-03-18,Villanova,73,Robert Morris,70
113,2010,2010-03-18,Wake Forest,81,Texas,80
3,2009,2009-04-04,Michigan St,82,UConn,73
33,2009,2009-03-19,Memphis,81,CSUN,70
88,2010,2010-03-20,Saint Marys CA,75,Villanova,68
112,2010,2010-03-18,Saint Marys CA,80,Richmond,71
72,2010,2010-03-26,Baylor,72,Saint Marys CA,49
55,2009,2009-03-20,Syracuse,59,SFA,44
228,2012,2012-03-16,Kansas,65,Detroit Mercy,50
115,2010,2010-03-18,Baylor,68,Sam Houston St,59
116,2010,2010-03-18,Old Dominion,51,Notre Dame,50
117,2010,2010-03-18,Ohio,97,Georgetown,83
119,2010,2010-03-19,Xavier,65,Minnesota,54
120,2010,2010-03-18,New Mexico,62,Montana,57
121,2010,2010-03-18,Washington,80,Marquette,78
122,2010,2010-03-18,Murray St,66,Vanderbilt,65
123,2010,2010-03-18,Butler,77,UTEP,59
124,2010,2010-03-18,Kansas St,82,North Texas,62
125,2010,2010-03-18,BYU,99,Florida,92
126,2010,2010-03-18,UNI,69,UNLV,66
127,2010,2010-03-18,Kansas,90,Lehigh,74
128,2010,2010-03-16,Ark-Pine Bluff,61,Winthrop,44
131,2011,2011-04-02,Butler,70,VCU,62
132,2011,2011-03-27,Kentucky,76,North Carolina,69
133,2011,2011-03-27,VCU,71,Kansas,61
134,2011,2011-03-26,Butler,74,Florida,71
136,2011,2011-03-25,Kentucky,62,Ohio St,60
137,2011,2011-03-25,North Carolina,81,Marquette,63
139,2011,2011-03-25,Kansas,77,Richmond,57
140,2011,2011-03-24,Butler,61,Wisconsin,54
141,2011,2011-03-24,Florida,83,BYU,74
142,2011,2011-03-24,Arizona,93,Duke,77
144,2011,2011-03-20,North Carolina,86,Washington,83
145,2011,2011-03-20,Duke,73,Michigan,71
146,2011,2011-03-20,Marquette,66,Syracuse,62
147,2011,2011-03-20,Ohio St,98,George Mason,66
148,2011,2011-03-20,Kansas,73,Illinois,59
150,2011,2011-03-20,VCU,94,Purdue,76
151,2011,2011-03-20,Arizona,70,Texas,69
152,2011,2011-03-19,San Diego St,71,Temple,64
154,2011,2011-03-19,Butler,71,Pittsburgh,70
155,2011,2011-03-19,Kentucky,71,West Virginia,63
156,2011,2011-03-19,Wisconsin,70,Kansas St,65
157,2011,2011-03-19,Florida,73,UCLA,65
158,2011,2011-03-19,BYU,89,Gonzaga,67
159,2011,2011-03-19,Richmond,65,Morehead St,48
160,2011,2011-03-18,Texas,85,Oakland,81
161,2011,2011-03-18,Washington,68,Georgia,65
163,2011,2011-03-18,Duke,87,Hampton,45
164,2011,2011-03-18,Michigan,75,Tennessee,45
165,2011,2011-03-18,Syracuse,77,Indiana St,60
166,2011,2011-03-18,Marquette,66,Xavier,55
167,2011,2011-03-18,Ohio St,75,UTSA,46
168,2011,2011-03-18,George Mason,61,Villanova,57
169,2011,2011-03-18,Kansas,72,Boston U,53
170,2011,2011-03-18,Illinois,73,UNLV,62
171,2011,2011-03-18,Purdue,65,Saint Peters,43
173,2011,2011-03-18,Notre Dame,69,Akron,56
174,2011,2011-03-18,Arizona,77,Memphis,75
175,2011,2011-03-17,Cincinnati,78,Missouri,63
176,2011,2011-03-17,Gonzaga,86,St Johns NY,71
177,2011,2011-03-17,BYU,74,Wofford,66
178,2011,2011-03-17,Richmond,69,Vanderbilt,66
179,2011,2011-03-17,Morehead St,62,Louisville,61
180,2011,2011-03-18,VCU,74,Georgetown,56
182,2011,2011-03-17,Pittsburgh,74,UNC Asheville,51
183,2011,2011-03-17,Kansas St,73,Utah St,68
184,2011,2011-03-17,Temple,66,Penn St,64
185,2011,2011-03-17,San Diego St,68,Northern Colo,50
186,2011,2011-03-17,UCLA,78,Michigan St,76
187,2011,2011-03-17,Kentucky,59,Princeton,57
188,2011,2011-03-17,Florida,79,UC Santa Barbara,51
189,2011,2011-03-17,Wisconsin,72,Belmont,58
190,2011,2011-03-17,Butler,60,Old Dominion,58
191,2011,2011-03-17,West Virginia,84,Clemson,76
192,2011,2011-03-16,VCU,59,Southern California,46
193,2011,2011-03-16,UTSA,70,Alabama St,61
194,2011,2011-03-15,Clemson,70,UAB,52
196,2012,2012-04-02,Kentucky,67,Kansas,59
197,2012,2012-03-31,Kansas,64,Ohio St,62
198,2012,2012-03-31,Kentucky,69,Louisville,61
199,2012,2012-03-25,Kansas,80,North Carolina,67
200,2012,2012-03-25,Kentucky,82,Baylor,70
201,2012,2012-03-24,Ohio St,77,Syracuse,70
202,2012,2012-03-24,Louisville,72,Florida,68
203,2012,2012-03-23,Kentucky,102,Indiana,90
204,2012,2012-03-23,Baylor,75,Xavier,70
206,2012,2012-03-23,North Carolina,73,Ohio,65
207,2012,2012-03-22,Florida,68,Marquette,58
208,2012,2012-03-22,Louisville,57,Michigan St,44
209,2012,2012-03-22,Syracuse,64,Wisconsin,63
210,2012,2012-03-22,Ohio St,81,Cincinnati,66
211,2012,2012-03-16,Xavier,67,Notre Dame,63
212,2012,2012-03-18,Cincinnati,62,Florida St,56
213,2012,2012-03-18,Kansas,63,Purdue,60
214,2012,2012-03-18,Florida,84,Norfolk St,50
215,2012,2012-03-18,Xavier,70,Lehigh,58
216,2012,2012-03-18,North Carolina,87,Creighton,73
217,2012,2012-03-18,Michigan St,65,Saint Louis,61
219,2012,2012-03-18,Ohio,62,South Fla,56
220,2012,2012-03-17,Wisconsin,60,Vanderbilt,57
221,2012,2012-03-17,Syracuse,75,Kansas St,59
222,2012,2012-03-17,Louisville,59,New Mexico,56
223,2012,2012-03-17,Indiana,63,VCU,61
224,2012,2012-03-17,Kentucky,87,Iowa St,71
225,2012,2012-03-17,Marquette,62,Murray St,53
226,2012,2012-03-17,Baylor,80,Colorado,63
