id,year,team_name,num_wins,num_losses,win_percentage
77,2010,Clemson,21,10,0.67742
129,2010,ETSU,20,14,0.58824
92,2010,Florida,21,12,0.63636
59,2010,Florida St,22,9,0.70968
65,2010,Georgetown,23,10,0.69697
136,2010,Houston,19,15,0.55882
73,2010,Lehigh,22,10,0.68750
104,2010,Louisville,20,12,0.62500
83,2010,Marquette,22,11,0.66667
106,2010,Minnesota,21,13,0.61765
57,2010,Montana,22,9,0.70968
33,2010,Morgan St,27,9,0.75000
82,2010,New Mexico St,22,11,0.66667
34,2010,North Texas,24,8,0.75000
81,2010,Notre Dame,23,11,0.67647
29,2010,Oakland,26,8,0.76471
70,2010,Oklahoma St,22,10,0.68750
28,2010,Richmond,26,8,0.76471
79,2010,Robert Morris,23,11,0.67647
22,2010,Sam Houston St,25,7,0.78125
31,2010,San Diego St,25,8,0.75758
15,2010,Siena,27,6,0.81818
11,2010,Temple,29,5,0.85294
46,2010,Texas,24,9,0.72727
66,2010,UC Santa Barbara,20,9,0.68966
30,2010,UNLV,25,8,0.75758
18,2010,UTEP,26,6,0.81250
20,2010,Utah St,27,7,0.79412
36,2010,Vanderbilt,24,8,0.75000
44,2010,Vermont,25,9,0.73529
126,2010,Winthrop,19,13,0.59375
27,2010,Wofford,26,8,0.76471
407,2011,Akron,23,12,0.65714
509,2011,Alabama St,17,17,0.50000
341,2011,Belmont,30,4,0.88235
432,2011,Boston U,21,13,0.61765
365,2011,Bucknell,25,8,0.75758
396,2011,Georgetown,21,10,0.67742
412,2011,Georgia,21,11,0.65625
366,2011,Hampton,24,8,0.75000
441,2011,Indiana St,20,13,0.60606
344,2011,LIU Brooklyn,27,5,0.84375
493,2011,Little Rock,19,16,0.54286
377,2011,Louisville,25,9,0.73529
376,2011,Memphis,25,9,0.73529
472,2011,Michigan St,19,14,0.57576
385,2011,Missouri,23,10,0.69697
393,2011,Northern Colo,21,10,0.67742
374,2011,Oakland,25,9,0.73529
345,2011,Old Dominion,27,6,0.81818
475,2011,Penn St,19,14,0.57576
348,2011,Princeton,25,6,0.80645
442,2011,Saint Peters,20,13,0.60606
470,2011,Southern California,19,14,0.57576
408,2011,St Johns NY,21,11,0.65625
469,2011,Tennessee,19,14,0.57576
367,2011,Texas AM,24,8,0.75000
378,2011,UAB,22,8,0.73333
464,2011,UC Santa Barbara,18,13,0.58065
369,2011,UNLV,24,8,0.75000
338,2011,Utah St,30,3,0.90909
386,2011,Vanderbilt,23,10,0.69697
415,2011,Villanova,21,11,0.65625
419,2011,Wofford,21,12,0.63636
358,2011,Xavier,24,7,0.77419
749,2012,Alabama,21,11,0.65625
693,2012,Belmont,27,7,0.79412
718,2012,California,24,9,0.72727
757,2012,Colorado St,20,11,0.64516
702,2012,Davidson,25,7,0.78125
767,2012,Detroit Mercy,22,13,0.62857
681,2012,Duke,27,6,0.81818
674,2012,Harvard,26,4,0.86667
701,2012,Iona,25,7,0.78125
708,2012,LIU Brooklyn,25,8,0.75758
742,2012,Lamar University,23,11,0.67647
709,2012,Long Beach St,25,8,0.75758
711,2012,Loyola Maryland,24,8,0.75000
705,2012,Memphis,26,8,0.76471
722,2012,Michigan,24,9,0.72727
762,2012,Mississippi Val,21,12,0.63636
673,2012,Missouri,30,4,0.88235
688,2012,Montana,25,6,0.80645
714,2012,New Mexico St,26,9,0.74286
745,2012,Notre Dame,22,11,0.66667
677,2012,Saint Marys CA,27,5,0.84375
697,2012,San Diego St,26,7,0.78788
695,2012,South Dakota St,27,7,0.79412
710,2012,Southern Miss,25,8,0.75758
758,2012,St Bonaventure,20,11,0.64516
703,2012,Temple,24,7,0.77419
785,2012,Texas,20,13,0.60606
782,2012,UConn,20,13,0.60606
720,2012,UNC Asheville,24,9,0.72727
704,2012,UNLV,26,8,0.76471
724,2012,Virginia,22,9,0.70968
790,2012,West Virginia,19,13,0.59375
678,2012,Wichita St,27,5,0.84375
1024,2013,Akron,26,6,0.81250
1062,2013,Albany NY,24,10,0.70588
1023,2013,Belmont,26,6,0.81250
1074,2013,Boise St,21,10,0.67742
1014,2013,Bucknell,28,5,0.84848
1079,2013,Cincinnati,22,11,0.66667
1090,2013,Colorado,21,11,0.65625
1030,2013,Davidson,26,7,0.78788
1025,2013,Georgetown,25,6,0.80645
